,START,UPTIME,TEMP,PRESURE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RSSI,GROUND_UTIME,END
,CVC-CANSAT-START,162.308,19.3,991.486,-0.00856104,-0.00306673,-0.000891357,-0.000373312,8.31968e-05,4.18913e-06, -76, 2.179,CVC-CANSAT-END 
,CVC-CANSAT-START,163.103,19.3025,991.536,-0.00857107,-0.00306243,-0.000851231,-0.00037262,8.23271e-05,4.43764e-06, -77, 2.975,CVC-CANSAT-END 
,CVC-CANSAT-START,163.898,19.2975,991.551,-0.00858683,-0.00309395,-0.000897089,-0.000371288,8.30548e-05,4.50864e-06, -76, 3.775,CVC-CANSAT-END 
,CVC-CANSAT-START,164.699,19.3051,991.531,-0.00854241,-0.00304953,-0.000811106,-0.000370188,8.30193e-05,3.86962e-06, -76, 4.573,CVC-CANSAT-END 
,CVC-CANSAT-START,165.497,19.2951,991.546,-0.00860116,-0.00304236,-0.000895656,-0.000370294,8.30193e-05,4.29563e-06, -76, 5.373,CVC-CANSAT-END 
,CVC-CANSAT-START,166.296,19.2951,991.549,-0.00861263,-0.00310399,-0.000798209,-0.000371058,8.29838e-05,4.65065e-06, -76, 6.172,CVC-CANSAT-END 
,CVC-CANSAT-START,167.097,19.29,991.516,-0.00858253,-0.00305239,-0.000878459,-0.000372691,8.32856e-05,4.10038e-06, -76, 6.968,CVC-CANSAT-END 
,CVC-CANSAT-START,167.892,19.2801,991.536,-0.00863269,-0.00306673,-0.000842633,-0.000372087,8.27353e-05,4.50864e-06, -75, 7.768,CVC-CANSAT-END 
,CVC-CANSAT-START,168.692,19.2852,991.531,-0.008594,-0.00307389,-0.000851231,-0.000371768,8.27176e-05,4.11813e-06, -76, 8.563,CVC-CANSAT-END 
,CVC-CANSAT-START,169.487,19.2777,991.547,-0.00855244,-0.00306099,-0.000773847,-0.000371058,8.28063e-05,3.97612e-06, -76, 9.367,CVC-CANSAT-END 
,CVC-CANSAT-START,170.291,19.2777,991.563,-0.00857537,-0.00308679,-0.000834035,-0.000371981,8.30016e-05,3.92287e-06, -76, 10.167,CVC-CANSAT-END 
,CVC-CANSAT-START,171.091,19.2801,991.541,-0.0085553,-0.00309252,-0.000815405,-0.000372992,8.29306e-05,4.9169e-06, -76, 10.962,CVC-CANSAT-END 
,CVC-CANSAT-START,171.886,19.2752,991.522,-0.00858397,-0.00309825,-0.000829736,-0.000370401,8.31081e-05,4.22463e-06, -75, 11.763,CVC-CANSAT-END 
,CVC-CANSAT-START,172.687,19.2703,991.574,-0.00861979,-0.00306243,-0.000722257,-0.000372584,8.31613e-05,4.57964e-06, -76, 12.563,CVC-CANSAT-END 
,CVC-CANSAT-START,173.487,19.2752,991.543,-0.00860116,-0.00303807,-0.00078961,-0.000371963,8.27885e-05,4.40214e-06, -75, 13.358,CVC-CANSAT-END 
