b,team,time,temp,pressure,x,y,z,rx,ry,rz,rssi,timereceived,a
,CVC-CANSAT-START,325.351,20.7092,970.808,-0.0117395,0.000815405,0.000166234,-0.0003723,8.36228e-05,4.65065e-06, -77, 303.943,CVC-CANSAT-END 
,CVC-CANSAT-START,326.146,20.6918,970.851,-0.0117395,0.000782445,0.000127541,-0.000373046,8.28418e-05,3.55011e-06, -77, 304.738,CVC-CANSAT-END 
,CVC-CANSAT-START,326.941,20.6693,970.807,-0.0117395,0.000825437,0.00020206,-0.000372815,8.30193e-05,4.40214e-06, -77, 305.532,CVC-CANSAT-END 
,CVC-CANSAT-START,327.736,20.642,970.864,-0.0117395,0.000791044,0.000186296,-0.00037214,8.41199e-05,4.18913e-06, -77, 306.326,CVC-CANSAT-END 
,CVC-CANSAT-START,328.529,20.6271,970.878,-0.0117395,0.000793909,0.00021639,-0.000371306,8.27176e-05,4.20688e-06, -78, 307.121,CVC-CANSAT-END 
,CVC-CANSAT-START,329.324,20.6072,970.848,-0.0117395,0.000802508,0.0001691,-0.000371714,8.34986e-05,4.04713e-06, -77, 307.916,CVC-CANSAT-END 
,CVC-CANSAT-START,330.12,20.5924,970.885,-0.0117395,0.000806807,0.000140439,-0.000371519,8.28951e-05,4.54414e-06, -77, 308.713,CVC-CANSAT-END 
,CVC-CANSAT-START,330.915,20.575,970.872,-0.0117395,0.000803941,0.000190596,-0.000371998,8.32146e-05,4.04713e-06, -77, 309.505,CVC-CANSAT-END 
,CVC-CANSAT-START,331.709,20.5576,970.861,-0.0117395,0.000815405,0.000203493,-0.000372779,8.30371e-05,3.86962e-06, -78, 310.301,CVC-CANSAT-END 
,CVC-CANSAT-START,332.504,20.5551,970.869,-0.0117395,0.00080824,0.00013614,-0.000373543,8.36938e-05,3.88737e-06, -79, 311.094,CVC-CANSAT-END 
,CVC-CANSAT-START,333.297,20.5352,970.897,-0.0117395,0.000845499,0.000110345,-0.000373117,8.32679e-05,4.06488e-06, -80, 311.889,CVC-CANSAT-END 
,CVC-CANSAT-START,334.092,20.5152,970.852,-0.0117395,0.000802508,0.000222123,-0.000374022,8.31968e-05,3.90512e-06, -80, 312.684,CVC-CANSAT-END 
,CVC-CANSAT-START,334.888,20.4978,970.898,-0.0117395,0.000835468,0.000131841,-0.000372442,8.30548e-05,4.24238e-06, -80, 313.479,CVC-CANSAT-END 
,CVC-CANSAT-START,335.683,20.483,970.87,-0.0117395,0.000786744,0.000226422,-0.000373703,8.25756e-05,4.13588e-06, -80, 314.274,CVC-CANSAT-END 
,CVC-CANSAT-START,336.477,20.4605,970.878,-0.0117395,0.000845499,0.000113211,-0.000374164,8.29483e-05,4.29563e-06, -79, 315.069,CVC-CANSAT-END 
,CVC-CANSAT-START,337.273,20.4408,970.868,-0.0117395,0.000783878,0.000141872,-0.00037104,8.34808e-05,4.56189e-06, -81, 315.868,CVC-CANSAT-END 
,CVC-CANSAT-START,338.072,20.4059,970.836,-0.0117395,0.000798209,0.000189163,-0.000373259,8.31613e-05,4.20688e-06, -80, 316.664,CVC-CANSAT-END 
,CVC-CANSAT-START,338.867,20.3961,970.878,-0.0117395,0.000806807,0.000187729,-0.000373383,8.29483e-05,4.40214e-06, -80, 317.458,CVC-CANSAT-END 
,CVC-CANSAT-START,339.662,20.3711,970.832,-0.0117395,0.000778146,9.45813e-05,-0.000373898,8.30903e-05,3.88737e-06, -79, 318.253,CVC-CANSAT-END 
,CVC-CANSAT-START,340.457,20.3588,970.815,-0.0117395,0.000779579,0.000163368,-0.000370862,8.89835e-05,2.30757e-06, -77, 319.048,CVC-CANSAT-END 
,CVC-CANSAT-START,341.252,20.3215,970.806,-0.0117395,0.00273999,0.00030094,-0.000397737,8.17058e-05,4.53882e-05, -78, 319.843,CVC-CANSAT-END 
,CVC-CANSAT-START,342.047,20.3066,970.857,-0.0117395,0.000224989,0.000487237,-0.000452479,-3.43828e-05,-3.1596e-05, -75, 320.642,CVC-CANSAT-END 
